NAME,topic,group,geography,label,estimate,pct,reliable,estimate_reliable,pct_reliable
"Skagway Municipality, Alaska",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Southeast Fairbanks Census Area, Alaska",cvap,Asian American Alone,county,CVAP,155,0.026,NO,,
"Southeast Fairbanks Census Area, Alaska",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Valdez-Cordova Census Area, Alaska",cvap,Asian American Alone,county,CVAP,325,0.154,NO,,
"Valdez-Cordova Census Area, Alaska",cvap,NHPI Alone,county,CVAP,55,0.818,YES,55,0.818
"Wrangell City and Borough, Alaska",cvap,Asian American Alone,county,CVAP,70,0.214,NO,,
"Wrangell City and Borough, Alaska",cvap,NHPI Alone,county,CVAP,10,0.4,NO,,
"Yakutat City and Borough, Alaska",cvap,Asian American Alone,county,CVAP,55,0.545,NO,,
"Yakutat City and Borough, Alaska",cvap,NHPI Alone,county,CVAP,15,0.267,NO,,
"Yukon-Koyukuk Census Area, Alaska",cvap,Asian American Alone,county,CVAP,35,0.571,NO,,
"Yukon-Koyukuk Census Area, Alaska",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Apache County, Arizona",cvap,Asian American Alone,county,CVAP,315,0.524,NO,,
"Apache County, Arizona",cvap,NHPI Alone,county,CVAP,15,0.667,NO,,
"Cochise County, Arizona",cvap,Asian American Alone,county,CVAP,2430,0.763,YES,2430,0.763
"Cochise County, Arizona",cvap,NHPI Alone,county,CVAP,420,0.75,YES,420,0.75
"Coconino County, Arizona",cvap,Asian American Alone,county,CVAP,2765,0.521,YES,2765,0.521
"Coconino County, Arizona",cvap,NHPI Alone,county,CVAP,175,0.943,YES,175,0.943
"Gila County, Arizona",cvap,Asian American Alone,county,CVAP,470,0.33,YES,470,0.33
"Gila County, Arizona",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Graham County, Arizona",cvap,Asian American Alone,county,CVAP,245,0.429,NO,,
"Graham County, Arizona",cvap,NHPI Alone,county,CVAP,50,0.4,NO,,
"Greenlee County, Arizona",cvap,Asian American Alone,county,CVAP,30,0,NO,,
"Greenlee County, Arizona",cvap,NHPI Alone,county,CVAP,0,,NO,,
"La Paz County, Arizona",cvap,Asian American Alone,county,CVAP,160,0.656,NO,,
"La Paz County, Arizona",cvap,NHPI Alone,county,CVAP,10,1,NO,,
"Maricopa County, Arizona",cvap,Asian American Alone,county,CVAP,174815,0.494,YES,174815,0.494
"Maricopa County, Arizona",cvap,NHPI Alone,county,CVAP,8405,0.667,YES,8405,0.667
"Mohave County, Arizona",cvap,Asian American Alone,county,CVAP,2440,0.564,YES,2440,0.564
"Mohave County, Arizona",cvap,NHPI Alone,county,CVAP,445,0.449,YES,445,0.449
"Navajo County, Arizona",cvap,Asian American Alone,county,CVAP,685,0.482,YES,685,0.482
"Navajo County, Arizona",cvap,NHPI Alone,county,CVAP,85,0.176,NO,,
"Pima County, Arizona",cvap,Asian American Alone,county,CVAP,28290,0.582,YES,28290,0.582
"Pima County, Arizona",cvap,NHPI Alone,county,CVAP,1475,0.451,YES,1475,0.451
